URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/cibmtr-vital-signs-height,StructureDefinition/cibmtr-vital-signs,StructureDefinition/cibmtr-cytogenetics,StructureDefinition/cibmtr-vital-signs-weight,StructureDefinition/cibmtr-observation-lab,StructureDefinition/cibmtr-obs-priority-variables","SCT"
http://hl7.org/fhir/ValueSet/common-tags,4.0.1,draft,"2.16.840.1.113883.4.642.3.79",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-vital-signs-height,StructureDefinition/cibmtr-vital-signs,StructureDefinition/cibmtr-gvhd-prophylaxis-medication,StructureDefinition/cibmtr-medication-administration,StructureDefinition/cibmtr-medication,StructureDefinition/cibmtr-medications,StructureDefinition/cibmtr-additional-peri-transplant-medication,StructureDefinition/cibmtr-prior-exposure-medication,StructureDefinition/cibmtr-mobilizing-agent-medication,StructureDefinition/cibmtr-patient,StructureDefinition/cibmtr-cytogenetics,StructureDefinition/cibmtr-vital-signs-weight,StructureDefinition/cibmtr-observation-lab,StructureDefinition/cibmtr-prep-regimen-medication,StructureDefinition/cibmtr-post-hct-disease-therapy-planned-medication,StructureDefinition/cibmtr-obs-priority-variables","THO"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/cibmtr-vital-signs-height,StructureDefinition/cibmtr-vital-signs,StructureDefinition/cibmtr-cytogenetics,StructureDefinition/cibmtr-vital-signs-weight,StructureDefinition/cibmtr-observation-lab,StructureDefinition/cibmtr-obs-priority-variables","THO"
http://hl7.org/fhir/ValueSet/dose-rate-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.981",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/cibmtr-patient","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-vital-signs-height,StructureDefinition/cibmtr-vital-signs,StructureDefinition/cibmtr-gvhd-prophylaxis-medication,StructureDefinition/cibmtr-medication-administration,StructureDefinition/cibmtr-medication,StructureDefinition/cibmtr-medications,StructureDefinition/cibmtr-additional-peri-transplant-medication,StructureDefinition/cibmtr-prior-exposure-medication,StructureDefinition/cibmtr-mobilizing-agent-medication,StructureDefinition/cibmtr-patient,StructureDefinition/cibmtr-cytogenetics,StructureDefinition/cibmtr-vital-signs-weight,StructureDefinition/cibmtr-observation-lab,StructureDefinition/cibmtr-prep-regimen-medication,StructureDefinition/cibmtr-post-hct-disease-therapy-planned-medication,StructureDefinition/cibmtr-obs-priority-variables","hl7.fhir.uv.xver-r5.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/cibmtr-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/med-admin-perform-function,4.0.1,draft,"2.16.840.1.113883.4.642.3.349",MedicationAdministration Performer Function Codes,Medication administration  performer  function  codes,"MedicationAdministration Performer Function Codes","StructureDefinition/cibmtr-medication-administration","THO"
http://hl7.org/fhir/ValueSet/medication-admin-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.347",MedicationAdministration Category Codes,Medication administration  category  codes,"MedicationAdministration Category Codes","StructureDefinition/cibmtr-medication-administration","THO"
http://hl7.org/fhir/ValueSet/medication-admin-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.340",MedicationAdministration Status Codes,Medication administration  status  codes,"MedicationAdministration Status Codes","StructureDefinition/cibmtr-medication-administration","THO"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","SCT"
http://hl7.org/fhir/ValueSet/medication-form-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.374",SNOMEDCTFormCodes,SNOMED CT Form Codes,"This value set includes all dose form codes from SNOMED CT - provided as an exemplar.","StructureDefinition/cibmtr-gvhd-prophylaxis-medication,StructureDefinition/cibmtr-medication,StructureDefinition/cibmtr-prep-regimen-medication,StructureDefinition/cibmtr-additional-peri-transplant-medication,StructureDefinition/cibmtr-post-hct-disease-therapy-planned-medication,StructureDefinition/cibmtr-prior-exposure-medication,StructureDefinition/cibmtr-mobilizing-agent-medication","SCT"
http://hl7.org/fhir/ValueSet/medication-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.376",Medication Status Codes,Medication  status  codes,"Medication Status Codes","StructureDefinition/cibmtr-gvhd-prophylaxis-medication,StructureDefinition/cibmtr-medication,StructureDefinition/cibmtr-prep-regimen-medication,StructureDefinition/cibmtr-additional-peri-transplant-medication,StructureDefinition/cibmtr-post-hct-disease-therapy-planned-medication,StructureDefinition/cibmtr-prior-exposure-medication,StructureDefinition/cibmtr-mobilizing-agent-medication","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationrequest-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.1322",medicationRequest Category Codes,Medication request  category  codes,"MedicationRequest Category Codes","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-course-of-therapy,4.0.1,draft,"2.16.840.1.113883.4.642.3.1326",medicationRequest Course of Therapy Codes,Medication request  course of  therapy  codes,"MedicationRequest Course of Therapy Codes","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","THO"
http://hl7.org/fhir/ValueSet/medicationrequest-intent,4.0.1,draft,"2.16.840.1.113883.4.642.3.1321",medicationRequest Intent,Medication request  intent,"MedicationRequest Intent Codes","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/medicationrequest-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1320",medicationrequest Status,Medicationrequest  status,"MedicationRequest Status Codes","StructureDefinition/cibmtr-medication-request,StructureDefinition/cibmtr-medications","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/cibmtr-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/cibmtr-vital-signs-height,StructureDefinition/cibmtr-vital-signs,StructureDefinition/cibmtr-cytogenetics,StructureDefinition/cibmtr-vital-signs-weight,StructureDefinition/cibmtr-observation-lab,StructureDefinition/cibmtr-obs-priority-variables","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/cibmtr-cytogenetics,StructureDefinition/cibmtr-observation-lab,StructureDefinition/cibmtr-obs-priority-variables","LOINC"
